n_points,HI_percent,mean_inlet_velocity
85,1.0111091840494666e-08,26.2749786
101,2.96875555506201e-06,26.258709
83,2.7366561142445533e-08,26.2477703
75,4.034342084431704e-09,26.2314739
73,2.02730097225575e-09,26.2210789
71,1.1361482619748951e-09,26.2055912
70,9.448790553328684e-10,26.1953297
69,8.141220878987203e-10,26.1801796
66,5.506540446206429e-10,26.1705379
67,4.548793286262689e-10,26.1563721
66,4.656929500631982e-10,26.1469402
65,3.4851389816832607e-10,26.132988
65,3.103268173187102e-10,26.1244202
64,2.6888352284586767e-10,26.1114235
64,2.3419841078313043e-10,26.1027699
63,1.9501325592078745e-10,26.0902061
63,1.9479088731486618e-10,26.0823555
63,1.7823511744189037e-10,26.0705452
62,1.5908456781784127e-10,26.0626335
61,1.4868342713575222e-10,26.0515194
61,1.3415098590453554e-10,26.0444622
60,1.22282733995864e-10,26.0338993
61,1.1665446724126954e-10,26.0269699
61,1.0792908159898987e-10,26.0175762
60,1.0476595535480743e-10,26.0114765
60,9.791323887661277e-11,26.0023079
60,8.966094108172022e-11,25.9963093
60,8.131730814806687e-11,25.9878368
60,7.856017108250015e-11,25.982214
59,7.448040476990283e-11,25.9738979
60,7.00031458717618e-11,25.9691639
59,6.276011651554317e-11,25.9623604
59,6.08678388658213e-11,25.9578381
59,5.688157450579238e-11,25.9516487
59,5.353934176256176e-11,25.9480915
59,4.897035388306369e-11,25.9426937
58,4.712562056002244e-11,25.9390965
58,4.424043404975194e-11,25.9338989
58,4.167996758435438e-11,25.9305897
58,3.8399815139628444e-11,25.9260101
58,3.7214942908481354e-11,25.9234352
58,3.475985540414758e-11,25.9195976
58,3.330638239828578e-11,25.9169788
58,3.108505484227441e-11,25.9141197
58,2.970560806877477e-11,25.9123135
58,2.8015930582156267e-11,25.9096241
58,2.698025247166602e-11,25.9082222
58,2.5497015378827193e-11,25.9065876
58,2.4602333824113123e-11,25.9055557
58,2.3273909119436087e-11,25.9043236
58,2.2472049231515686e-11,25.9039574
58,2.1174555857994482e-11,25.903368
58,2.0321656470899628e-11,25.9031582
58,1.917454282361532e-11,25.9034348
58,1.8450691613756666e-11,25.9036331
58,1.7476923534850727e-11,25.9041634
58,1.6881249042405512e-11,25.9047642
58,1.6089068717860288e-11,25.9060001
58,1.561332280401467e-11,25.9069195
58,1.4807127188671313e-11,25.9084702
58,1.4373636601202579e-11,25.9098549
58,1.3643773471466994e-11,25.9123783
58,1.3161724900708837e-11,25.9138565
58,1.2466331946557012e-11,25.9166927
58,1.210752087168749e-11,25.9190521
58,1.1451549975435479e-11,25.9226055
58,1.1047073567679749e-11,25.9249859
58,1.0509574167516434e-11,25.9290085
58,1.0207417203338283e-11,25.9318314
58,9.753141184945529e-12,25.9360886
58,9.51229413799203e-12,25.9390965
58,9.037004669089574e-12,25.9443436
58,8.734602849016613e-12,25.9476299
58,8.331872764115502e-12,25.9524918
58,8.055348446202442e-12,25.9564533
58,7.68886313160135e-12,25.962429
58,7.489709278858008e-12,25.9664249
58,7.162131922309186e-12,25.9723988
58,6.9488470676623766e-12,25.9767685
58,6.6519707667124e-12,25.9835262
58,6.468088741872582e-12,25.9880447
58,6.172759328415121e-12,25.9953957
58,5.99760234417377e-12,26.0005093
58,5.746411945707884e-12,26.0079117
58,5.594586496926842e-12,26.0131245
58,5.375056822601573e-12,26.0210094
58,5.242755621300448e-12,26.0262833
58,5.044657322065986e-12,26.0346546
58,4.924501210027585e-12,26.0401707
58,4.74188697468831e-12,26.0484982
