n_points,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
82,1.1971036049267457e-05,1.0485231691519148,0.132223561
115,1.6314124137848984e-05,1.580571209995723,0.133191317
114,1.6518313930939587e-05,1.5823523398956043,0.13352409
81,1.2219429275230096e-05,1.0367831155048344,0.133838609
115,1.684101872239715e-05,1.5920776513573425,0.134654209
113,1.660493473193809e-05,1.570559632554021,0.134966969
83,1.2468179141038703e-05,1.038056808228352,0.134492069
116,1.663613363949627e-05,1.5805710866596145,0.134318039
113,1.6772042507721526e-05,1.5894796958763489,0.134168282
116,1.681739479524885e-05,1.5888141183828106,0.134480044
112,1.6671911824690633e-05,1.5837506687050042,0.134629935
114,1.666662152773655e-05,1.573901400158708,0.134971827
82,1.2394633083766974e-05,1.029333018815621,0.135280743
116,1.7048163518174512e-05,1.6010915122957496,0.134804487
115,1.6271785210155326e-05,1.5712819857972813,0.133203238
114,1.654767185181696e-05,1.5924826594573038,0.133009449
112,1.6524320440110715e-05,1.5972835687003133,0.132700607
115,1.6102871650219562e-05,1.578387741448404,0.132393926
113,1.6230617534168765e-05,1.5883529270525,0.132247031
80,1.1848773557535248e-05,1.040009776677408,0.132055014
82,1.2214793680030974e-05,1.0357439912305795,0.133845657
82,1.2240799748839832e-05,1.0345955209113569,0.133673012
80,1.218231398426692e-05,1.0417904362316817,0.133339763
113,1.6168137998743873e-05,1.5739757632663982,0.132552966
113,1.635701477464815e-05,1.5804455041948267,0.1328834
113,1.619789570610907e-05,1.5848726028700206,0.132213473
82,1.2123072003943454e-05,1.0409319062410554,0.133203357
115,1.642100845365234e-05,1.569387531329521,0.133668169
81,1.2097655630039296e-05,1.0334592466175256,0.133339658
79,1.2314422611706634e-05,1.038107143173682,0.133994818
116,1.681294477752627e-05,1.5879406764529753,0.134816542
113,1.6968015658626425e-05,1.5988521353097191,0.135152102
83,1.237134390300199e-05,1.0324983024702739,0.134654179
83,1.2336604488392896e-05,1.033749012346161,0.134318009
114,1.6903216408728872e-05,1.5972858102967753,0.1343299
84,1.2353553508111961e-05,1.030551182132519,0.134646907
81,1.2374512167398824e-05,1.0321990847787743,0.13495487
111,1.6739261691246113e-05,1.5789511220999994,0.135152191
83,1.236681279808509e-05,1.029257793166558,0.135468453
115,1.6759413170319714e-05,1.5840301396416911,0.135292813
83,1.2110030944867892e-05,1.0353267433017241,0.133019626
108,1.623743437347513e-05,1.5749004836293243,0.132574692
112,1.6146525635349172e-05,1.5853728035537535,0.132235155
110,1.5981223977314985e-05,1.5729166032404291,0.132065177
111,1.594308465353468e-05,1.5757477838578158,0.131896839
112,1.5952536573690325e-05,1.58401387873422,0.131744877
112,1.6065544331161552e-05,1.5872186684034815,0.131906644
115,1.6524747197631153e-05,1.57225790889166,0.13401714
82,1.2229660540754763e-05,1.0346027863386649,0.133660942
116,1.6644458701214797e-05,1.5938102960348606,0.13383849
114,1.656961074820046e-05,1.5949625097700222,0.133339763
111,1.6212207204900797e-05,1.5732382877301843,0.132553011
111,1.60693906059021e-05,1.5763796232072218,0.132223353
114,1.6251964420970548e-05,1.5761678262439514,0.132871717
115,1.6264499642741344e-05,1.603164027008648,0.131930023
112,1.6311702745448723e-05,1.5792112368678834,0.133026615
113,1.6541269146443603e-05,1.5824636905453247,0.133500338
116,1.6420798589017724e-05,1.570455393903467,0.133672729
84,1.2314449231469347e-05,1.0366141102816966,0.133994803
116,1.6288127746982488e-05,1.5801355884294843,0.133191347
83,1.2313062671549495e-05,1.0301466694505992,0.13431789
114,1.70571593320918e-05,1.5979799085829018,0.134979114
116,1.6879987391603767e-05,1.5892155190104469,0.135461211
83,1.2407323594162774e-05,1.0316825381529213,0.135305092
113,1.6622044661199267e-05,1.5709089193411343,0.134966984
113,1.6746978784431423e-05,1.588430214216113,0.134630203
112,1.65580386565748e-05,1.572167836798262,0.134318024
118,1.6686831084101392e-05,1.577470217245915,0.134816319
117,1.673532153305438e-05,1.5832254964391004,0.134642199
82,1.2392134352588802e-05,1.03206142581953,0.13514179
81,1.234662260730232e-05,1.026622593677283,0.135478899
84,1.2420288398192754e-05,1.0292230274584533,0.135783419
84,1.2387307104552135e-05,1.0268214191263125,0.135947689
112,1.711891224526325e-05,1.6056633030598053,0.135468483
111,1.6528243843559133e-05,1.595964832223801,0.132871673
82,1.2072594740583253e-05,1.045416032474632,0.132541448
113,1.6279586150003325e-05,1.5929338376497815,0.132235155
110,1.6066894068992667e-05,1.5844225067955557,0.131930247
114,1.590210772293798e-05,1.5824237371040826,0.131760374
108,1.5999159173893908e-05,1.589033531168462,0.131611422
112,1.5996274039405182e-05,1.5861548669755274,0.131611422
112,1.5818693213306558e-05,1.5807767840562048,0.131429076
111,1.606236697502179e-05,1.5946762652886775,0.131744847
114,1.657399674115656e-05,1.588010675838612,0.133523986
84,1.2305487722143774e-05,1.0368701784182546,0.133995071
112,1.638813198968786e-05,1.5851468048242532,0.133179545
114,1.6787507192507344e-05,1.6038929406914169,0.133351892
112,1.613326723893756e-05,1.5828155222464417,0.132382065
111,1.6355575590958273e-05,1.5890750061163186,0.132553026
110,1.6031819180399773e-05,1.5789138111570857,0.132064864
112,1.5884113487194237e-05,1.5797104583527508,0.131647959
114,1.6615212051918833e-05,1.600713676182224,0.132859752
81,1.2042279696981866e-05,1.0384751527451181,0.132553041
83,1.2134644454252942e-05,1.03685806426612,0.133019462
112,1.6622312497310548e-05,1.5904610591849564,0.133346766
80,1.2220435425692196e-05,1.0302815194448527,0.133660764
114,1.663823688854235e-05,1.5938439784099554,0.133855775
81,1.2383477382529462e-05,1.0391090789889117,0.134168372
82,1.2430095791452271e-05,1.0353803763291856,0.13529323
83,1.2392450160391332e-05,1.0284951720355022,0.135795563
118,1.681214700896835e-05,1.5857327805524104,0.135624558
111,1.6685535467448953e-05,1.5750199016683384,0.134979099
115,1.6773978445349333e-05,1.5864169263246655,0.1348093
115,1.673648716579217e-05,1.5901002060035856,0.134630218
84,1.2305049005618287e-05,1.029362257174252,0.134318039
81,1.2398592009251595e-05,1.0334865219518756,0.134978935
84,1.2396509820041089e-05,1.0309011564318247,0.135292917
113,1.6670072889088494e-05,1.5788736206218257,0.134629935
83,1.2427314790819657e-05,1.0344354682652437,0.134944469
79,1.2400334638885881e-05,1.031723857459464,0.135456085
118,1.672779073432133e-05,1.576544412596793,0.135619611
112,1.6905892766637254e-05,1.5892136949574303,0.135795549
83,1.2322579423878044e-05,1.0216272442650238,0.136253789
84,1.2300115415790573e-05,1.0199291812053188,0.136111841
112,1.6715009178735166e-05,1.571928215162348,0.135924801
115,1.6453338946405068e-05,1.5906888706188242,0.132860094
114,1.6134461121616777e-05,1.5702738140023649,0.132552937
114,1.6285575866964744e-05,1.5972958008133538,0.132247046
112,1.617104056030155e-05,1.5947757008924903,0.13205497
114,1.5909195958586458e-05,1.580113731145954,0.13174507
110,1.5815036014428964e-05,1.5766544003244043,0.131536484
111,1.5742039929747906e-05,1.5745081772854996,0.131429136
112,1.5615570177459272e-05,1.5629115287700366,0.131503984
109,1.582641583427204e-05,1.5911006996036583,0.131289139
81,1.2226749960440095e-05,1.0343688053478688,0.133668467
81,1.229665143211772e-05,1.032384926474493,0.133983314
113,1.611030331342856e-05,1.5610766983483002,0.133026764
115,1.6445547904857676e-05,1.585628315375327,0.133339778
110,1.6382187528549316e-05,1.6056889690419094,0.132213235
81,1.1815672309151274e-05,1.0431134480703523,0.131906614
110,1.5870744974889095e-05,1.5792751958658824,0.131503969
112,1.5902080274304593e-05,1.5806403555097583,0.131611407
82,1.1989513841378743e-05,1.036068006186535,0.132574767
80,1.2031310790539067e-05,1.0504410468445657,0.13238211
116,1.615459529410361e-05,1.5909405737706988,0.13207683
82,1.2089584950376052e-05,1.033868284069409,0.133019447
110,1.644759067804311e-05,1.5786342951567747,0.133351535
81,1.2274282476436056e-05,1.037455883476698,0.133660734
116,1.6512440033482288e-05,1.5821190487922376,0.133855775
116,1.6632736430184076e-05,1.5826438392969695,0.134168386
