n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
102,4.346135854019445e-07,4.868357603136469e-07,4.346135854019445e-07,1.4321596187924714,0.127857447
99,4.4248233591627887e-07,4.931089506486759e-07,4.4248233591627887e-07,1.437729669872077,0.127392069
98,4.2870475611194384e-07,4.820977886084581e-07,4.2870475611194384e-07,1.4269892295511932,0.128192917
100,4.0610039269401407e-07,4.6047859577943754e-07,4.0610039269401407e-07,1.401756354051505,0.129355028
90,4.027295631098723e-07,3.8266126568238954e-07,4.027295631098723e-07,0.9533655924405725,0.142519951
88,3.7340768122180395e-07,3.574367159542836e-07,3.7340768122180395e-07,0.9783975329057902,0.144208178
89,3.853870334855755e-07,3.6790011994796197e-07,3.853870334855755e-07,0.9823252383751848,0.143499568
99,4.0929837780971144e-07,4.638726144057001e-07,4.0929837780971144e-07,1.4053266432661193,0.129306093
100,4.1603678304860586e-07,4.68230340383974e-07,4.1603678304860586e-07,1.4106913166695054,0.128719226
99,4.025279014348103e-07,4.5464207879265075e-07,4.025279014348103e-07,1.3940839191321044,0.129355013
97,3.9053114100884985e-07,4.4926916666506067e-07,3.9053114100884985e-07,1.3819528980302385,0.130621523
99,3.6919530204952946e-07,4.255623474849665e-07,3.6919530204952946e-07,1.3357527288339939,0.131531179
88,3.767147295081212e-07,3.6073823511046934e-07,3.767147295081212e-07,0.9839313870694872,0.144018769
93,3.63216829348868e-07,3.5081475873836275e-07,3.63216829348868e-07,1.0820209319031358,0.150543451
90,3.55997495965479e-07,3.4326540892011357e-07,3.55997495965479e-07,1.0079239125741932,0.14700684
90,3.610891927587036e-07,3.48509012333858e-07,3.610891927587036e-07,1.0393975788900767,0.148182213
97,3.938620223736806e-07,4.4900193752886413e-07,3.938620223736806e-07,1.3824690569254892,0.130187556
97,3.797053985049061e-07,4.3623869935041926e-07,3.797053985049061e-07,1.3668645501434178,0.13121821
100,3.995056728175742e-07,4.5384253848500825e-07,3.995056728175742e-07,1.3913516305361509,0.129771486
100,3.8147851969021673e-07,4.3948194262947044e-07,3.8147851969021673e-07,1.368479210739163,0.13121824
95,3.596429660813246e-07,4.167963266427534e-07,3.596429660813246e-07,1.3374067440798427,0.13247256
96,3.438369003495909e-07,4.023693264884642e-07,3.438369003495909e-07,1.3056403193203059,0.133542687
11,1.3331071423518946e-07,1.4568639189750255e-07,1.3331071423518946e-07,0.0822014476331363,0.146591187
96,3.6543161809956476e-07,3.526411406230374e-07,3.6543161809956476e-07,1.0817344682375911,0.15192619
15,1.7878733532680775e-07,1.8337611088301235e-07,1.7878733532680775e-07,0.1390795893243282,0.153150737
95,3.6962071302873574e-07,4.2688521415499256e-07,3.6962071302873574e-07,1.3497976318954612,0.131835401
99,3.5779037999217006e-07,4.1762513492516336e-07,3.5779037999217006e-07,1.3369788160141238,0.132944793
94,3.6004748853441436e-07,4.178572851657685e-07,3.6004748853441436e-07,1.3372508957739748,0.132472515
96,3.4594865073964883e-07,4.043490427416574e-07,3.4594865073964883e-07,1.3186983794236404,0.133695468
90,3.2845061770091756e-07,3.8693596238330333e-07,3.2845061770091756e-07,1.2904643739492838,0.134802088
94,3.146294474517524e-07,3.741451337405218e-07,3.146294474517524e-07,1.2589970661399388,0.135976613
4,3.306375624603506e-08,3.947801432660793e-08,3.306375624603506e-08,0.014758812028799695,0.133662492
7,7.289582780431804e-08,8.24966974089082e-08,7.289582780431804e-08,0.0386774776707231,0.139965802
7,7.101447169943034e-08,8.070456268828523e-08,7.101447169943034e-08,0.03758281109267018,0.139682323
95,3.4089093905155286e-07,3.9826400194275733e-07,3.4089093905155286e-07,1.3079410760732895,0.133849636
94,3.310327248495426e-07,3.92178013327502e-07,3.310327248495426e-07,1.2966955481927047,0.13496539
95,3.2899240935640943e-07,3.892419413858642e-07,3.2899240935640943e-07,1.2913808787511747,0.134965435
92,3.1860463329502076e-07,3.7931482161034017e-07,3.1860463329502076e-07,1.2776749590463028,0.136144325
91,3.0797444947567826e-07,3.6914668265438163e-07,3.0797444947567826e-07,1.2605234288532896,0.13726978
91,2.9156873448895286e-07,3.509636067334002e-07,2.9156873448895286e-07,1.2305020005309573,0.138011903
3,1.5729412730471695e-08,1.9257184529746387e-08,1.5729412730471695e-08,0.005774555794840394,0.130460694
91,3.084920350703769e-07,3.670662532459506e-07,3.084920350703769e-07,1.2592210845662641,0.136781335
95,3.162990867219804e-07,3.7573606146324487e-07,3.162990867219804e-07,1.2723653896052292,0.136111736
92,3.045663531724373e-07,3.6422893848980573e-07,3.045663531724373e-07,1.252771395501175,0.137379438
92,2.808419534666034e-07,3.392938885651883e-07,2.808419534666034e-07,1.214552751152866,0.137690276
86,2.63771005808095e-07,3.211938256877516e-07,2.63771005808095e-07,1.1738605537616968,0.137313962
91,2.864614549389481e-07,3.4411832008419876e-07,2.864614549389481e-07,1.222640611018936,0.137916759
87,2.9870339519935426e-07,3.5789215160838274e-07,2.9870339519935426e-07,1.2436156983333355,0.13797012
88,2.733913746232517e-07,3.322976978906522e-07,2.733913746232517e-07,1.2008932092890814,0.137476161
85,2.6630375060279194e-07,3.270644708213445e-07,2.6630375060279194e-07,1.189686772398121,0.137155533
83,2.485833497909115e-07,3.060189632556382e-07,2.485833497909115e-07,1.1483362309013347,0.136789635
91,2.8430469411626306e-07,3.4573923123082573e-07,2.8430469411626306e-07,1.221165106573014,0.137690276
85,2.621014239579504e-07,3.181092065033113e-07,2.621014239579504e-07,1.1794664686398164,0.137262791
85,2.5324186779588466e-07,3.0939231916227885e-07,2.5324186779588466e-07,1.1633230305103397,0.136945829
84,2.416070109234332e-07,3.0015617163809765e-07,2.416070109234332e-07,1.1452406261484975,0.136583
85,2.3300159795884498e-07,2.902005723890193e-07,2.3300159795884498e-07,1.124217884177201,0.136161223
87,2.5683096607178976e-07,3.1344131208822084e-07,2.5683096607178976e-07,1.169874655002423,0.13704817
85,2.427045019697344e-07,3.024008098044845e-07,2.427045019697344e-07,1.1452221984926425,0.136583149
85,2.3299447134186918e-07,2.902785577258945e-07,2.3299447134186918e-07,1.1233091192346583,0.136161268
84,2.2493177111489698e-07,2.82431187600647e-07,2.2493177111489698e-07,1.1102275303529667,0.135354981
84,2.2265043013630877e-07,2.8304637934314525e-07,2.2265043013630877e-07,1.1021105585300857,0.13482587
80,2.291411495452838e-07,2.888150822703299e-07,2.291411495452838e-07,1.1178175378924575,0.135900214
82,2.261888611862019e-07,2.8469818797679203e-07,2.261888611862019e-07,1.1120756416962125,0.135357738
80,2.153292441105354e-07,2.7397333961224267e-07,2.153292441105354e-07,1.0925644119358793,0.134567678
84,2.1180415797164835e-07,2.6930741380746884e-07,2.1180415797164835e-07,1.0844923522515257,0.134041339
81,2.0632797729487982e-07,2.6531072026539967e-07,2.0632797729487982e-07,1.0728858907002727,0.133252487
83,2.1393613957235469e-07,2.747512483740813e-07,2.1393613957235469e-07,1.0905958980821502,0.134172827
80,2.0696248497886418e-07,2.6541953801601344e-07,2.0696248497886418e-07,1.0734386930342281,0.133517534
81,1.9712460923479078e-07,2.5263165834447674e-07,1.9712460923479078e-07,1.0528422392126742,0.132996231
83,1.905944015410785e-07,2.459123942898283e-07,1.905944015410785e-07,1.0364184568485157,0.132348254
77,1.860394132255058e-07,2.4289717778525583e-07,1.860394132255058e-07,1.0217178120710062,0.132445052
81,1.9546716367902115e-07,2.5196933220600483e-07,1.9546716367902115e-07,1.0476116522632912,0.13265425
81,1.9305470531415805e-07,2.493957329401281e-07,1.9305470531415805e-07,1.044317977164608,0.132225782
82,1.8403800180972326e-07,2.4025790531940896e-07,1.8403800180972326e-07,1.022605945689645,0.132499054
80,1.7883299351396344e-07,2.352965882823989e-07,1.7883299351396344e-07,1.010579576655455,0.132785439
81,1.700889427497061e-07,2.2471243361725646e-07,1.700889427497061e-07,0.992314592414647,0.133196875
81,1.7860618597157428e-07,2.3365573254533344e-07,1.7860618597157428e-07,1.0108733105534402,0.132727727
