n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
85,1.2262244890653843e-05,1.194167576519826e-05,1.2262244890653843e-05,1.0403196162360115,0.133870587
82,1.2396606789940723e-05,1.2043995866012853e-05,1.2396606789940723e-05,1.0346102566836992,0.135166988
114,1.6813297171890248e-05,1.7634811319380105e-05,1.6813297171890248e-05,1.5808027645039886,0.136872068
83,1.2351378984428144e-05,1.2002635800269353e-05,1.2351378984428144e-05,1.0356908823057196,0.134249493
113,1.5793675528110307e-05,1.648552315566561e-05,1.5793675528110307e-05,1.5768105579316003,0.131607994
110,1.590604958712125e-05,1.6706735892830765e-05,1.590604958712125e-05,1.5871479664556587,0.131406799
108,1.551539927290445e-05,1.6270263403325744e-05,1.551539927290445e-05,1.5643908804847064,0.13112548
82,1.2181501938538041e-05,1.1791923877220076e-05,1.2181501938538041e-05,1.0064802760109655,0.1381955
86,1.2184943863197633e-05,1.1785050584075065e-05,1.2184943863197633e-05,1.0107679532567277,0.139508247
82,1.2315099265120597e-05,1.195872168106566e-05,1.2315099265120597e-05,1.026253133381817,0.137804687
83,1.219289049973051e-05,1.1860443140072017e-05,1.219289049973051e-05,1.0340144011945231,0.133517906
112,1.533781818252368e-05,1.6163907261424456e-05,1.533781818252368e-05,1.5804048837181135,0.130806893
109,1.4489460211751055e-05,1.5365566902762356e-05,1.4489460211751055e-05,1.5657851128792302,0.129952475
111,1.4197320505462176e-05,1.513855615033062e-05,1.4197320505462176e-05,1.5631562637305112,0.129534274
106,1.2944371698710585e-05,1.4019166558748824e-05,1.2944371698710585e-05,1.5376238295804365,0.127819389
88,1.213479239052774e-05,1.173981845497334e-05,1.213479239052774e-05,0.9896885885553959,0.142241165
86,1.2239500402785708e-05,1.1861224869784454e-05,1.2239500402785708e-05,1.0026004942720157,0.142230049
85,1.2115059774474473e-05,1.1766187373118768e-05,1.2115059774474473e-05,1.0037282127816214,0.140960634
111,1.3683314384124566e-05,1.4570169843309003e-05,1.3683314384124566e-05,1.5417673511202599,0.12909618
108,1.3293031156486243e-05,1.4371692945517095e-05,1.3293031156486243e-05,1.5430773747810886,0.128301308
107,1.2530974014070196e-05,1.3785717176843353e-05,1.2530974014070196e-05,1.5394364603226767,0.126545951
101,1.1750975580566468e-05,1.3034676130465742e-05,1.1750975580566468e-05,1.5166353356842233,0.125038177
83,1.1919190093379526e-05,1.1536954593833111e-05,1.1919190093379526e-05,0.9752115553473356,0.140982702
81,1.2097938427884686e-05,1.172585764045997e-05,1.2097938427884686e-05,0.986905289729886,0.141364962
86,1.1962273051468394e-05,1.1588292942985468e-05,1.1962273051468394e-05,0.9779593254345138,0.14106743
107,1.2279341541155144e-05,1.3493994388371027e-05,1.2279341541155144e-05,1.52736314768953,0.126321524
107,1.2788751855862357e-05,1.3956569192372188e-05,1.2788751855862357e-05,1.5391030126091232,0.127255052
107,1.2013473525884965e-05,1.3210488596861633e-05,1.2013473525884965e-05,1.5180642009958585,0.125893369
104,1.1365673651655882e-05,1.2706253048822654e-05,1.1365673651655882e-05,1.5070550967518273,0.125019327
102,1.072951121387535e-05,1.2087254788783656e-05,1.072951121387535e-05,1.48029261396882,0.125819713
85,1.1263243326816785e-05,1.0897791945733143e-05,1.1263243326816785e-05,0.9643155881975414,0.140241653
82,1.1579097708338582e-05,1.1193017508892742e-05,1.1579097708338582e-05,0.9643252134471725,0.140577018
86,1.1321862687730885e-05,1.095589694983425e-05,1.1321862687730885e-05,0.9675552540118565,0.140276372
102,1.1045054909906995e-05,1.2354531875200369e-05,1.1045054909906995e-05,1.494344302281152,0.125315502
105,1.1592865576114382e-05,1.2977311916637443e-05,1.1592865576114382e-05,1.5185093738659716,0.124886401
103,1.0890039473757375e-05,1.2291992064136628e-05,1.0890039473757375e-05,1.4972655474237182,0.125717759
99,1.0244325761403852e-05,1.1594915476889813e-05,1.0244325761403852e-05,1.474454103396477,0.126337647
98,9.908425457822506e-06,1.1298080616511856e-05,9.908425457822506e-06,1.4594573708431615,0.126871452
86,1.0898833742773234e-05,1.0556388040489915e-05,1.0898833742773234e-05,0.9574797238349909,0.140040457
83,1.094453185862156e-05,1.0626794051893682e-05,1.094453185862156e-05,0.9584834565982224,0.14102447
83,1.076094555576329e-05,1.0349365917047278e-05,1.076094555576329e-05,0.9493226025945927,0.140049309
83,1.0755386197700165e-05,1.0323949334068836e-05,1.0755386197700165e-05,0.9534749594989305,0.140224591
99,1.0156941221545721e-05,1.1561267958841629e-05,1.0156941221545721e-05,1.4734361376851581,0.126548499
104,1.034817972251715e-05,1.166579710014927e-05,1.034817972251715e-05,1.4686669877428367,0.126091167
100,9.876728033447059e-06,1.1225186760434835e-05,9.876728033447059e-06,1.4565415241456159,0.126761511
101,9.53741914357727e-06,1.0901629183102321e-05,9.53741914357727e-06,1.4447251944040942,0.127308667
101,8.998234745925543e-06,1.037563693643767e-05,8.998234745925543e-06,1.4201611072411346,0.128192946
88,1.1059230036398301e-05,1.0744902749303809e-05,1.1059230036398301e-05,0.9623906161039065,0.140949517
86,1.0067347446680819e-05,9.65690057953028e-06,1.0067347446680819e-05,0.9609034836954048,0.142338768
86,1.0728993958875138e-05,1.0396773904148375e-05,1.0728993958875138e-05,0.9630244629378465,0.141396016
102,9.235649876192535e-06,1.0641567738169064e-05,9.235649876192535e-06,1.4321596187924714,0.127857447
99,9.443514139659313e-06,1.0810109285680477e-05,9.443514139659313e-06,1.437729669872077,0.127392069
98,9.083690047389969e-06,1.0511025178121229e-05,9.083690047389969e-06,1.4269892295511932,0.128192917
100,8.491735842261146e-06,9.931624206384657e-06,8.491735842261146e-06,1.401756354051505,0.129355028
90,9.905160485858397e-06,9.498547830626902e-06,9.905160485858397e-06,0.9533655924405725,0.142519951
88,8.78682710050971e-06,8.443540946280056e-06,8.78682710050971e-06,0.9783975329057902,0.144208178
89,9.222267330605648e-06,8.846610638645488e-06,9.222267330605648e-06,0.9823252383751848,0.143499568
99,8.575488386945853e-06,1.0020206507029945e-05,8.575488386945853e-06,1.4053266432661193,0.129306093
100,8.743470700188053e-06,1.0133500779421855e-05,8.743470700188053e-06,1.4106913166695054,0.128719226
99,8.38951785201527e-06,9.760686225309759e-06,8.38951785201527e-06,1.3940839191321044,0.129355013
97,8.124590348340247e-06,9.663702644101469e-06,8.124590348340247e-06,1.3819528980302385,0.130621523
99,7.596492580841703e-06,9.044187501343833e-06,7.596492580841703e-06,1.3357527288339939,0.131531179
88,8.894556035899437e-06,8.55212791404194e-06,8.894556035899437e-06,0.9839313870694872,0.144018769
93,8.015167826860956e-06,7.74601099218578e-06,8.015167826860956e-06,1.0820209319031358,0.150543451
90,8.031958424907409e-06,7.753322173636251e-06,8.031958424907409e-06,1.0079239125741932,0.14700684
90,8.086174477925343e-06,7.80719682215262e-06,8.086174477925343e-06,1.0393975788900767,0.148182213
97,8.190706602357723e-06,9.629865841786805e-06,8.190706602357723e-06,1.3824690569254892,0.130187556
97,7.836214761613565e-06,9.296713171782723e-06,7.836214761613565e-06,1.3668645501434178,0.13121821
100,8.327713303556446e-06,9.756294612200456e-06,8.327713303556446e-06,1.3913516305361509,0.129771486
100,7.891854753509408e-06,9.397346251104454e-06,7.891854753509408e-06,1.368479210739163,0.13121824
95,7.347365930554546e-06,8.79674368358827e-06,7.347365930554546e-06,1.3374067440798427,0.13247256
96,6.980201125783252e-06,8.454343538440251e-06,6.980201125783252e-06,1.3056403193203059,0.133542687
11,3.60545620577802e-06,3.9033638197309665e-06,3.60545620577802e-06,0.0822014476331363,0.146591187
96,8.06145568266145e-06,7.79426967266645e-06,8.06145568266145e-06,1.0817344682375911,0.15192619
15,4.653133301224991e-06,4.745293271223219e-06,4.653133301224991e-06,0.1390795893243282,0.153150737
95,7.597810687390747e-06,9.066339963192882e-06,7.597810687390747e-06,1.3497976318954612,0.131835401
99,7.316334019576538e-06,8.844150016175128e-06,7.316334019576538e-06,1.3369788160141238,0.132944793
94,7.363914431567359e-06,8.834810361140643e-06,7.363914431567359e-06,1.3372508957739748,0.132472515
96,7.0146891830138195e-06,8.486537850303198e-06,7.0146891830138195e-06,1.3186983794236404,0.133695468
90,6.598560794196707e-06,8.054021145793336e-06,6.598560794196707e-06,1.2904643739492838,0.134802088
94,6.287668383074695e-06,7.760721117680602e-06,6.287668383074695e-06,1.2589970661399388,0.135976613
4,8.737294838741327e-07,1.024651768406924e-06,8.737294838741327e-07,0.014758812028799695,0.133662492
7,1.953794395599826e-06,2.1828592112069325e-06,1.953794395599826e-06,0.0386774776707231,0.139965802
7,1.9030005079512668e-06,2.134213913967045e-06,1.9030005079512668e-06,0.03758281109267018,0.139682323
95,6.8911024020720054e-06,8.33366065266415e-06,6.8911024020720054e-06,1.3079410760732895,0.133849636
94,6.675861010451427e-06,8.203509885859182e-06,6.675861010451427e-06,1.2966955481927047,0.13496539
95,6.624230268655044e-06,8.129131249703683e-06,6.624230268655044e-06,1.2913808787511747,0.134965435
92,6.374838544993879e-06,7.88309319799878e-06,6.374838544993879e-06,1.2776749590463028,0.136144325
91,6.128342581556258e-06,7.637746301236579e-06,6.128342581556258e-06,1.2605234288532896,0.13726978
91,5.734805595984175e-06,7.18037234964772e-06,5.734805595984175e-06,1.2305020005309573,0.138011903
3,4.0882141950150903e-07,4.905272763130534e-07,4.0882141950150903e-07,0.005774555794840394,0.130460694
91,6.12413201237504e-06,7.56440831192685e-06,6.12413201237504e-06,1.2592210845662641,0.136781335
95,6.3137550312474705e-06,7.786757652793126e-06,6.3137550312474705e-06,1.2723653896052292,0.136111736
92,6.039687225752663e-06,7.503193401273735e-06,6.039687225752663e-06,1.252771395501175,0.137379438
92,5.476915441395152e-06,6.883745790617595e-06,5.476915441395152e-06,1.214552751152866,0.137690276
86,5.094644440468781e-06,6.458405515241192e-06,5.094644440468781e-06,1.1738605537616968,0.137313962
91,5.603247961810953e-06,6.9998204184939655e-06,5.603247961810953e-06,1.222640611018936,0.137916759
87,5.897774678201816e-06,7.342915850213678e-06,5.897774678201816e-06,1.2436156983333355,0.13797012
88,5.311540510578097e-06,6.721207580827642e-06,5.311540510578097e-06,1.2008932092890814,0.137476161
85,5.165621413445098e-06,6.614955930675029e-06,5.165621413445098e-06,1.189686772398121,0.137155533
83,4.753705138795894e-06,6.100055967688041e-06,4.753705138795894e-06,1.1483362309013347,0.136789635
91,5.578761913070003e-06,7.070174547668975e-06,5.578761913070003e-06,1.221165106573014,0.137690276
85,5.039129064637854e-06,6.361200965187193e-06,5.039129064637854e-06,1.1794664686398164,0.137262791
85,4.842129685479386e-06,6.157033163854088e-06,4.842129685479386e-06,1.1633230305103397,0.136945829
84,4.60225527458591e-06,5.956828787384611e-06,4.60225527458591e-06,1.1452406261484975,0.136583
85,4.405343567995117e-06,5.71956563047931e-06,4.405343567995117e-06,1.124217884177201,0.136161223
87,4.925453718567082e-06,6.255833248656299e-06,4.925453718567082e-06,1.169874655002423,0.13704817
85,4.636640493224048e-06,6.019692368912242e-06,4.636640493224048e-06,1.1452221984926425,0.136583149
85,4.406348658364344e-06,5.721884992612833e-06,4.406348658364344e-06,1.1233091192346583,0.136161268
84,4.231078577471665e-06,5.543071674917761e-06,4.231078577471665e-06,1.1102275303529667,0.135354981
84,4.205618777737122e-06,5.587880573595032e-06,4.205618777737122e-06,1.1021105585300857,0.13482587
80,4.342593453339712e-06,5.7017982062473275e-06,4.342593453339712e-06,1.1178175378924575,0.135900214
82,4.2658975358193826e-06,5.6056254703471256e-06,4.2658975358193826e-06,1.1120756416962125,0.135357738
80,4.035004103437221e-06,5.3518090942297495e-06,4.035004103437221e-06,1.0925644119358793,0.134567678
84,3.949569740464179e-06,5.246577486222901e-06,3.949569740464179e-06,1.0844923522515257,0.134041339
81,3.843735266432492e-06,5.171161912500499e-06,3.843735266432492e-06,1.0728858907002727,0.133252487
83,4.020791784214734e-06,5.390146598966905e-06,4.020791784214734e-06,1.0905958980821502,0.134172827
80,3.853952024598992e-06,5.166861543761245e-06,3.853952024598992e-06,1.0734386930342281,0.133517534
81,3.6263725700507567e-06,4.859919800977874e-06,3.6263725700507567e-06,1.0528422392126742,0.132996231
83,3.4914739024610827e-06,4.714965417454608e-06,3.4914739024610827e-06,1.0364184568485157,0.132348254
77,3.411175566803157e-06,4.6599316496298494e-06,3.411175566803157e-06,1.0217178120710062,0.132445052
81,3.5997784951260354e-06,4.854132771376937e-06,3.5997784951260354e-06,1.0476116522632912,0.13265425
81,3.546343506588171e-06,4.790377649214293e-06,3.546343506588171e-06,1.044317977164608,0.132225782
82,3.362199774915144e-06,4.593823759070668e-06,3.362199774915144e-06,1.022605945689645,0.132499054
80,3.257987026983478e-06,4.488442068747051e-06,3.257987026983478e-06,1.010579576655455,0.132785439
81,3.065960207606646e-06,4.23683668810181e-06,3.065960207606646e-06,0.992314592414647,0.133196875
