n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
85,4.868198288848373e-06,4.696193865816548e-06,4.868198288848373e-06,1.0403196162360115,0.133870587
82,4.91298187968713e-06,4.72649735314076e-06,4.91298187968713e-06,1.0346102566836992,0.135166988
114,6.183819113235897e-06,6.5187506571047155e-06,6.183819113235897e-06,1.5808027645039886,0.136872068
83,4.900635621422953e-06,4.714263316324849e-06,4.900635621422953e-06,1.0356908823057196,0.134249493
113,5.881596340331584e-06,6.175196715844795e-06,5.881596340331584e-06,1.5768105579316003,0.131607994
110,5.900547437421848e-06,6.243865772882538e-06,5.900547437421848e-06,1.5871479664556587,0.131406799
108,5.780508570900474e-06,6.1106912916659895e-06,5.780508570900474e-06,1.5643908804847064,0.13112548
82,4.847486322906461e-06,4.639358369672631e-06,4.847486322906461e-06,1.0064802760109655,0.1381955
86,4.852065128594886e-06,4.636201668242746e-06,4.852065128594886e-06,1.0107679532567277,0.139508247
82,4.88639641560788e-06,4.695824638228617e-06,4.88639641560788e-06,1.026253133381817,0.137804687
83,4.8487652899064005e-06,4.66950467288247e-06,4.8487652899064005e-06,1.0340144011945231,0.133517906
112,5.707791457530284e-06,6.079319057010928e-06,5.707791457530284e-06,1.5804048837181135,0.130806893
109,5.434244717510865e-06,5.833890573210181e-06,5.434244717510865e-06,1.5657851128792302,0.129952475
111,5.32844492314426e-06,5.763756743225333e-06,5.32844492314426e-06,1.5631562637305112,0.129534274
106,4.901539796002948e-06,5.414420201603377e-06,4.901539796002948e-06,1.5376238295804365,0.127819389
88,4.8169237204643876e-06,4.615973821420918e-06,4.8169237204643876e-06,0.9896885885553959,0.142241165
86,4.849444701302997e-06,4.656690959552283e-06,4.849444701302997e-06,1.0026004942720157,0.142230049
85,4.8079527238535755e-06,4.627527702848953e-06,4.8079527238535755e-06,1.0037282127816214,0.140960634
111,5.1718608297819136e-06,5.58614126194288e-06,5.1718608297819136e-06,1.5417673511202599,0.12909618
108,5.015622148151211e-06,5.524425256869222e-06,5.015622148151211e-06,1.5430773747810886,0.128301308
107,4.736211423941556e-06,5.341441192255177e-06,4.736211423941556e-06,1.5394364603226767,0.126545951
101,4.46099571310912e-06,5.103294851277736e-06,4.46099571310912e-06,1.5166353356842233,0.125038177
83,4.740896802288503e-06,4.544015321912411e-06,4.740896802288503e-06,0.9752115553473356,0.140982702
81,4.797094801072792e-06,4.607970112246528e-06,4.797094801072792e-06,0.986905289729886,0.141364962
86,4.754338717363707e-06,4.561146057026872e-06,4.754338717363707e-06,0.9779593254345138,0.14106743
107,4.658766433113471e-06,5.248340895733964e-06,4.658766433113471e-06,1.52736314768953,0.126321524
107,4.836096891787746e-06,5.394451134939135e-06,4.836096891787746e-06,1.5391030126091232,0.127255052
107,4.572656065980209e-06,5.1583937133495866e-06,4.572656065980209e-06,1.5180642009958585,0.125893369
104,4.324073134503148e-06,4.9970542945743785e-06,4.324073134503148e-06,1.5070550967518273,0.125019327
102,4.092899923764811e-06,4.7977030900781445e-06,4.092899923764811e-06,1.48029261396882,0.125819713
85,4.522433970606599e-06,4.331983674239415e-06,4.522433970606599e-06,0.9643155881975414,0.140241653
82,4.630047860536632e-06,4.42960729030587e-06,4.630047860536632e-06,0.9643252134471725,0.140577018
86,4.542542920758589e-06,4.35151619815636e-06,4.542542920758589e-06,0.9675552540118565,0.140276372
102,4.218783276924692e-06,4.883783550760532e-06,4.218783276924692e-06,1.494344302281152,0.125315502
105,4.396255926576984e-06,5.08399050417891e-06,4.396255926576984e-06,1.5185093738659716,0.124886401
103,4.146979332005923e-06,4.863956469489563e-06,4.146979332005923e-06,1.4972655474237182,0.125717759
99,3.933978618657645e-06,4.637263159378329e-06,3.933978618657645e-06,1.474454103396477,0.126337647
98,3.8126199399413125e-06,4.5398190067830115e-06,3.8126199399413125e-06,1.4594573708431615,0.126871452
86,4.3997231232720624e-06,4.216820941335086e-06,4.3997231232720624e-06,0.9574797238349909,0.140040457
83,4.406713162634903e-06,4.233090895967909e-06,4.406713162634903e-06,0.9584834565982224,0.14102447
83,4.363655301889174e-06,4.147475280471963e-06,4.363655301889174e-06,0.9493226025945927,0.140049309
83,4.3654318831962985e-06,4.1366850834964205e-06,4.3654318831962985e-06,0.9534749594989305,0.140224591
99,3.895799584757387e-06,4.6260930741206596e-06,3.895799584757387e-06,1.4734361376851581,0.126548499
104,3.973752938142708e-06,4.659569909052696e-06,3.973752938142708e-06,1.4686669877428367,0.126091167
100,3.809216741038719e-06,4.515316857325818e-06,3.809216741038719e-06,1.4565415241456159,0.126761511
101,3.6905614943979028e-06,4.408478930088129e-06,3.6905614943979028e-06,1.4447251944040942,0.127308667
101,3.5033219762344474e-06,4.232735450533149e-06,3.5033219762344474e-06,1.4201611072411346,0.128192946
88,4.444873603710833e-06,4.272354093933997e-06,4.444873603710833e-06,0.9623906161039065,0.140949517
86,4.136875585175865e-06,3.914210938985266e-06,4.136875585175865e-06,0.9609034836954048,0.142338768
86,4.341169097737333e-06,4.1585033233585376e-06,4.341169097737333e-06,0.9630244629378465,0.141396016
102,3.5830933390964717e-06,4.321356455334458e-06,3.5830933390964717e-06,1.4321596187924714,0.127857447
99,3.6588963295242956e-06,4.377739353042256e-06,3.6588963295242956e-06,1.437729669872077,0.127392069
98,3.5253297878037255e-06,4.277789967103628e-06,3.5253297878037255e-06,1.4269892295511932,0.128192917
100,3.323620859538704e-06,4.082688462065765e-06,3.323620859538704e-06,1.401756354051505,0.129355028
90,4.0834353530475765e-06,3.861345236607955e-06,4.0834353530475765e-06,0.9533655924405725,0.142519951
88,3.710091743441389e-06,3.516401156901162e-06,3.710091743441389e-06,0.9783975329057902,0.144208178
89,3.857909324743058e-06,3.649667769265011e-06,3.857909324743058e-06,0.9823252383751848,0.143499568
99,3.3505335118628056e-06,4.11271827024426e-06,3.3505335118628056e-06,1.4053266432661193,0.129306093
100,3.418830425971993e-06,4.151158084693459e-06,3.418830425971993e-06,1.4106913166695054,0.128719226
99,3.2978068203100684e-06,4.025521975663761e-06,3.2978068203100684e-06,1.3940839191321044,0.129355013
97,3.175389054992905e-06,3.9904833281526386e-06,3.175389054992905e-06,1.3819528980302385,0.130621523
99,2.998578672959811e-06,3.7787077307135984e-06,2.998578672959811e-06,1.3357527288339939,0.131531179
88,3.746249929872277e-06,3.5530182858709797e-06,3.746249929872277e-06,0.9839313870694872,0.144018769
93,3.4582799168218227e-06,3.2970823782525602e-06,3.4582799168218227e-06,1.0820209319031358,0.150543451
90,3.4538296845844315e-06,3.2903620140326073e-06,3.4538296845844315e-06,1.0079239125741932,0.14700684
90,3.479075611080678e-06,3.313217318328999e-06,3.479075611080678e-06,1.0393975788900767,0.148182213
97,3.213489999552557e-06,3.980269182877993e-06,3.213489999552557e-06,1.3824690569254892,0.130187556
97,3.083616967538659e-06,3.8663858569872985e-06,3.083616967538659e-06,1.3668645501434178,0.13121821
100,3.265247508722657e-06,4.023268948552719e-06,3.265247508722657e-06,1.3913516305361509,0.129771486
100,3.096632808737996e-06,3.900089414711345e-06,3.096632808737996e-06,1.368479210739163,0.13121824
95,2.9047410948086256e-06,3.694075102805922e-06,2.9047410948086256e-06,1.3374067440798427,0.13247256
96,2.7681944143590843e-06,3.573946601607653e-06,2.7681944143590843e-06,1.3056403193203059,0.133542687
11,1.5709638394175782e-06,1.8123474042618367e-06,1.5709638394175782e-06,0.0822014476331363,0.146591187
96,3.4763279706597833e-06,3.3141613378845466e-06,3.4763279706597833e-06,1.0817344682375911,0.15192619
15,2.0361612030438637e-06,2.145311170135068e-06,2.0361612030438637e-06,0.1390795893243282,0.153150737
